,Path,File_Name,Title,Year,Rating,Resolution,Aspect_Ratio,Detailed_Aspect_Ratio,File Size,Run_Time(Minutes)
495,//nubian/archives/movies/movies/Action & Adventure/Indiana Jones and the Raiders Of The Lost Ark (1981) [PG].m4v,Indiana Jones and the Raiders Of The Lost Ark (1981) [PG].m4v,Indiana Jones and the Raiders Of The Lost Ark,1981,PG,1900x800,2.375,1920.0x816.0,4945,115.31450462962964
496,//nubian/archives/movies/movies/Action & Adventure/Firestarter (2022) [Edited].m4v,Firestarter (2022) [Edited].m4v,Firestarter,2022,Edited,1900x800,2.375,1920.0x804.0,1819,94.33055555555555
497,//nubian/archives/movies/movies/Action & Adventure/Deja Vu (2006) [PG-13].m4v,Deja Vu (2006) [PG-13].m4v,Deja Vu,2006,PG-13,700x400,1.75,720.0x356.0,907,126.39054592592592
498,//nubian/archives/movies/movies/Action & Adventure/Flags of Our Fathers [R].m4v,Flags of Our Fathers [R].m4v,Flags of Our Fathers,,R,600x300,2.0,640.0x272.0,1568,131.71769722222223
499,//nubian/archives/movies/movies/Action & Adventure/Nobody (2021) [R].m4v,Nobody (2021) [R].m4v,Nobody,2021,R,700x400,1.75,720.0x356.0,707,91.68812407407407
500,//nubian/archives/movies/movies/Action & Adventure/Batman Returns (1992) [PG-13].m4v,Batman Returns (1992) [PG-13].m4v,Batman Returns,1992,PG-13,1900x1100,1.7272727272727273,1920.0x1072.0,1540,123.36977430555554
501,//nubian/archives/movies/movies/Action & Adventure/Suicide Squad [PG-13].m4v,Suicide Squad [PG-13].m4v,Suicide Squad,,PG-13,700x400,1.75,720.0x360.0,634,122.86440814814814
502,//nubian/archives/movies/movies/Action & Adventure/Zorro 2 The Legend of [PG-13].m4v,Zorro 2 The Legend of [PG-13].m4v,Zorro 2 The Legend of,,PG-13,1900x800,2.375,1912.0x816.0,3616,130.46366629629628
503,"//nubian/archives/movies/movies/Action & Adventure/Odyssey part 2, The [PG-13].m4v","Odyssey part 2, The [PG-13].m4v","Odyssey part 2, The",,PG-13,700x500,1.4,720.0x480.0,850,92.10034166666668
504,"//nubian/archives/movies/movies/Action & Adventure/Island, The [PG-13].mp4","Island, The [PG-13].mp4","Island, The",,PG-13,600x300,2.0,640.0x272.0,1613,136.0226920138889
505,//nubian/archives/movies/movies/Action & Adventure/2-22 (2017) [PG-13].mp4,2-22 (2017) [PG-13].mp4,2-22,2017,PG-13,700x400,1.75,720.0x360.0,492,98.89949500000002
506,//nubian/archives/movies/movies/Action & Adventure/James Bond 01 Dr. No [PG-13].mp4,James Bond 01 Dr. No [PG-13].mp4,James Bond 01 Dr. No,,PG-13,600x400,1.5,640.0x368.0,1295,109.75130833333333
507,//nubian/archives/movies/movies/Action & Adventure/James Bond 11 Moonraker [PG].mp4,James Bond 11 Moonraker [PG].mp4,James Bond 11 Moonraker,,PG,500x200,2.5,480.0x208.0,526,125.90279027777777
508,//nubian/archives/movies/movies/Action & Adventure/Bilal (2015) [PG-13].m4v,Bilal (2015) [PG-13].m4v,Bilal,2015,PG-13,700x400,1.75,720.0x356.0,616,109.60282666666667
509,"//nubian/archives/movies/movies/Action & Adventure/Fistful Of Dollars, A (1964) [PG-13].m4v","Fistful Of Dollars, A (1964) [PG-13].m4v","Fistful Of Dollars, A",1964,PG-13,700x300,2.3333333333333335,718.0x276.0,686,100.0574574074074
510,//nubian/archives/movies/movies/Action & Adventure/Top Gun- Maverick (2022) [PG-13].m4v,Top Gun- Maverick (2022) [PG-13].m4v,Top Gun- Maverick,2022,PG-13,1900x900,2.111111111111111,1920.0x908.0,3201,130.24122185185186
511,"//nubian/archives/movies/movies/Action & Adventure/Grandmaster, The [PG-13].m4v","Grandmaster, The [PG-13].m4v","Grandmaster, The",,PG-13,700x400,1.75,660.0x362.0,457,108.29137740740741
512,//nubian/archives/movies/movies/Action & Adventure/Need For Speed [PG-13].m4v,Need For Speed [PG-13].m4v,Need For Speed,,PG-13,700x400,1.75,720.0x360.0,845,130.71986092592593
513,//nubian/archives/movies/movies/Action & Adventure/National Treasure [PG].m4v,National Treasure [PG].m4v,National Treasure,,PG,700x400,1.75,720.0x358.0,731,131.07789185185186
514,//nubian/archives/movies/movies/Action & Adventure/Kong - Skull Island [PG-13].m4v,Kong - Skull Island [PG-13].m4v,Kong - Skull Island,,PG-13,700x400,1.75,720.0x360.0,1234,118.38910425925926
515,//nubian/archives/movies/movies/Action & Adventure/Silverado [PG-13].m4v,Silverado [PG-13].m4v,Silverado,,PG-13,700x400,1.75,720.0x352.0,1200,132.24401407407407
516,//nubian/archives/movies/movies/Action & Adventure/Paycheck [PG-13].m4v,Paycheck [PG-13].m4v,Paycheck,,PG-13,700x500,1.4,720.0x480.0,1058,118.74640537037037
517,//nubian/archives/movies/movies/Action & Adventure/Pirates Of The Caribbean 2 [PG-13].m4v,Pirates Of The Caribbean 2 [PG-13].m4v,Pirates Of The Caribbean 2,,PG-13,700x400,1.75,720.0x356.0,1588,150.6879274074074
518,"//nubian/archives/movies/movies/Action & Adventure/13th Warrior, The (1999) [R].m4v","13th Warrior, The (1999) [R].m4v","13th Warrior, The",1999,R,700x300,2.3333333333333335,720.0x322.0,1168,98.44666666666667
519,//nubian/archives/movies/movies/Action & Adventure/12 Strong (2018) [R].m4v,12 Strong (2018) [R].m4v,12 Strong,2018,R,700x400,1.75,720.0x358.0,813,129.86584703703704
520,//nubian/archives/movies/movies/Action & Adventure/James Bond 04 Thunderball [PG].mp4,James Bond 04 Thunderball [PG].mp4,James Bond 04 Thunderball,,PG,500x200,2.5,480.0x208.0,620,130.01656493055555
521,//nubian/archives/movies/movies/Action & Adventure/Machine Gun Preacher.m4v,Machine Gun Preacher.m4v,Machine Gun Preacher,,,700x400,1.75,720.0x360.0,1123,128.8370412962963
522,//nubian/archives/movies/movies/Action & Adventure/Walking Tall (2004) [PG-13].m4v,Walking Tall (2004) [PG-13].m4v,Walking Tall,2004,PG-13,600x400,1.5,640.0x368.0,1106,86.34292333333333
523,//nubian/archives/movies/movies/Action & Adventure/Fall (2022) [PG-13].m4v,Fall (2022) [PG-13].m4v,Fall,2022,PG-13,1900x1000,1.9,1920.0x960.0,2809,107.33848092592594
524,//nubian/archives/movies/movies/Action & Adventure/Absolute Power (1997) [R].m4v,Absolute Power (1997) [R].m4v,Absolute Power,1997,R,700x400,1.75,720.0x362.0,966,121.23275814814815
525,//nubian/archives/movies/movies/Action & Adventure/2 Guns (2013) [R].m4v,2 Guns (2013) [R].m4v,2 Guns,2013,R,700x300,2.3333333333333335,720.0x304.0,881,109.11516888888887
526,//nubian/archives/movies/movies/Action & Adventure/Robinhood [CF].m4v,Robinhood [CF].m4v,Robinhood,,CF,700x400,1.75,684.0x362.0,1095,140.8212361111111
527,//nubian/archives/movies/movies/Action & Adventure/Violent Night (2022) [Edited].m4v,Violent Night (2022) [Edited].m4v,Violent Night,2022,Edited,1900x800,2.375,1920.0x808.0,2503,109.87291666666667
528,"//nubian/archives/movies/movies/Action & Adventure/Patriot, The [R+CC].m4v","Patriot, The [R+CC].m4v","Patriot, The",,R+CC,700x400,1.75,710.0x358.0,1786,164.78100666666666
529,//nubian/archives/movies/movies/Action & Adventure/Black Widow (2021) [PG-13].m4v,Black Widow (2021) [PG-13].m4v,Black Widow,2021,PG-13,700x400,1.75,720.0x360.0,1239,133.7928262962963
530,//nubian/archives/movies/movies/Action & Adventure/Alien Vs Predator - Requiem (2007) [CF].m4v,Alien Vs Predator - Requiem (2007) [CF].m4v,Alien Vs Predator - Requiem,2007,CF,700x400,1.75,716.0x358.0,461,94.25582833333333
531,//nubian/archives/movies/movies/Action & Adventure/Cloack & Dagger (1984) [PG].m4v,Cloack & Dagger (1984) [PG].m4v,Cloack & Dagger,1984,PG,700x500,1.4,720.0x460.0,681,101.16745537037036
532,//nubian/archives/movies/movies/Action & Adventure/I Frankenstein [PG-13].m4v,I Frankenstein [PG-13].m4v,I Frankenstein,,PG-13,700x400,1.75,720.0x356.0,560,92.40064148148149
533,//nubian/archives/movies/movies/Action & Adventure/Rocky (1976) [PG].mp4,Rocky (1976) [PG].mp4,Rocky,1976,PG,700x400,1.75,720.0x392.0,1216,119.53747361111111
534,//nubian/archives/movies/movies/Action & Adventure/Traded [PG].m4v,Traded [PG].m4v,Traded,,PG,700x400,1.75,720.0x362.0,763,98.38439685185185
535,//nubian/archives/movies/movies/Action & Adventure/Tears Of The Sun [CF].m4v,Tears Of The Sun [CF].m4v,Tears Of The Sun,,CF,700x400,1.75,718.0x354.0,931,117.17984055555556
536,//nubian/archives/movies/movies/Action & Adventure/Men in Black 2 (2002) [PG-13].mp4,Men in Black 2 (2002) [PG-13].mp4,Men in Black 2,2002,PG-13,500x300,1.6666666666666667,512.0x288.0,1019,88.16696777777777
537,//nubian/archives/movies/movies/Action & Adventure/James Bond 24 Spectre [PG-13].m4v,James Bond 24 Spectre [PG-13].m4v,James Bond 24 Spectre,,PG-13,700x400,1.75,720.0x364.0,685,148.13465314814815
538,//nubian/archives/movies/movies/Action & Adventure/Highlander [R].m4v,Highlander [R].m4v,Highlander,,R,700x500,1.4,720.0x464.0,1959,116.46634981481482
539,//nubian/archives/movies/movies/Action & Adventure/Flight of the Intruder [PG-13].m4v,Flight of the Intruder [PG-13].m4v,Flight of the Intruder,,PG-13,500x300,1.6666666666666667,480.0x320.0,673,114.789675
540,//nubian/archives/movies/movies/Action & Adventure/Full Metal Jacket (1987) [R].mp4,Full Metal Jacket (1987) [R].mp4,Full Metal Jacket,1987,R,500x400,1.25,512.0x384.0,1331,116.55143500000001
541,//nubian/archives/movies/movies/Action & Adventure/Hancock [PG-13].m4v,Hancock [PG-13].m4v,Hancock,,PG-13,400x200,2.0,448.0x192.0,643,104.33318055555556
542,//nubian/archives/movies/movies/Action & Adventure/High Plains Drifter [R].m4v,High Plains Drifter [R].m4v,High Plains Drifter,,R,700x300,2.3333333333333335,720.0x282.0,714,105.00513703703703
543,//nubian/archives/movies/movies/Action & Adventure/Indiana Jones And The Dial Of Destiny (2023) [PG-13].m4v,Indiana Jones And The Dial Of Destiny (2023) [PG-13].m4v,Indiana Jones And The Dial Of Destiny,2023,PG-13,1900x800,2.375,1918.0x804.0,4468,154.48210518518516
544,//nubian/archives/movies/movies/Action & Adventure/Batman and Robin (1997) [PG-13].m4v,Batman and Robin (1997) [PG-13].m4v,Batman and Robin,1997,PG-13,700x500,1.4,720.0x480.0,2969,124.88407425925926
545,"//nubian/archives/movies/movies/Action & Adventure/Bourne Identity, The (2002) [PG-13].mp4","Bourne Identity, The (2002) [PG-13].mp4","Bourne Identity, The",2002,PG-13,500x300,1.6666666666666667,512.0x288.0,1084,118.24979833333333
546,//nubian/archives/movies/movies/Action & Adventure/James Bond 13 Octopussy [PG].mp4,James Bond 13 Octopussy [PG].mp4,James Bond 13 Octopussy,,PG,500x200,2.5,480.0x192.0,562,130.47292222222222
547,//nubian/archives/movies/movies/Action & Adventure/Kingdom Of Heaven (2005) [R].m4v,Kingdom Of Heaven (2005) [R].m4v,Kingdom Of Heaven,2005,R,1900x800,2.375,1920.0x818.0,5801,189.55603296296295
548,"//nubian/archives/movies/movies/Action & Adventure/Bridge on the River Kwai, The (1957) [PG].m4v","Bridge on the River Kwai, The (1957) [PG].m4v","Bridge on the River Kwai, The",1957,PG,500x200,2.5,480.0x192.0,793,170.17531631944445
549,//nubian/archives/movies/movies/Action & Adventure/Underworld 2 [CF].m4v,Underworld 2 [CF].m4v,Underworld 2,,CF,700x400,1.75,718.0x354.0,658,99.41667833333332
550,"//nubian/archives/movies/movies/Action & Adventure/Matrix Resurrections, The (2021) [R].m4v","Matrix Resurrections, The (2021) [R].m4v","Matrix Resurrections, The",2021,R,1900x800,2.375,1920.0x804.0,3667,147.95892185185184
551,//nubian/archives/movies/movies/Action & Adventure/Blade 2 (2002) [CF].m4v,Blade 2 (2002) [CF].m4v,Blade 2,2002,CF,700x500,1.4,720.0x466.0,884,107.27605777777778
552,//nubian/archives/movies/movies/Action & Adventure/Firefox (1982) [PG].m4v,Firefox (1982) [PG].m4v,Firefox,1982,PG,500x200,2.5,480.0x208.0,589,136.0863097222222
553,//nubian/archives/movies/movies/Action & Adventure/Panic Room [CF].m4v,Panic Room [CF].m4v,Panic Room,,CF,700x500,1.4,720.0x480.0,446,108.70081444444443
554,//nubian/archives/movies/movies/Action & Adventure/Spiderman1 [PG-13].mp4,Spiderman1 [PG-13].mp4,Spiderman1,,PG-13,700x500,1.4,720.0x470.0,1042,121.21623537037038
555,//nubian/archives/movies/movies/Action & Adventure/Patton [PG].m4v,Patton [PG].m4v,Patton,,PG,500x300,1.6666666666666667,480.0x320.0,943,171.42736722222222
556,//nubian/archives/movies/movies/Action & Adventure/Battle for Terra (2007) [PG].m4v,Battle for Terra (2007) [PG].m4v,Battle for Terra,2007,PG,600x300,2.0,640.0x272.0,479,79.37999500000001
557,"//nubian/archives/movies/movies/Action & Adventure/Amazing Spider Man 2, The (2014) [PG-13].m4v","Amazing Spider Man 2, The (2014) [PG-13].m4v","Amazing Spider Man 2, The",2014,PG-13,700x400,1.75,720.0x360.0,900,141.57824222222223
558,//nubian/archives/movies/movies/Action & Adventure/Wonder Woman 1984 (2020) [PG-13].mp4,Wonder Woman 1984 (2020) [PG-13].mp4,Wonder Woman 1984,2020,PG-13,1900x1000,1.9,1920.0x1008.0,2852,151.08565694444445
559,//nubian/archives/movies/movies/Action & Adventure/Batman Beyond Return of the Joker (2000) [PG].m4v,Batman Beyond Return of the Joker (2000) [PG].m4v,Batman Beyond Return of the Joker,2000,PG,700x500,1.4,716.0x480.0,627,73.93024518518519
560,//nubian/archives/movies/movies/Action & Adventure/Lucy (2014) [R].m4v,Lucy (2014) [R].m4v,Lucy,2014,R,700x400,1.75,720.0x356.0,512,89.45923074074072
561,//nubian/archives/movies/movies/Action & Adventure/Skyfall (2012) [PG-13].m4v,Skyfall (2012) [PG-13].m4v,Skyfall,2012,PG-13,1900x800,2.375,1916.0x800.0,3639,143.16593925925926
562,"//nubian/archives/movies/movies/Action & Adventure/Killer, The [R].m4v","Killer, The [R].m4v","Killer, The",,R,600x500,1.2,640.0x466.0,826,109.08733333333333
563,"//nubian/archives/movies/movies/Action & Adventure/Magnificent Seven, The (2016) [PG-13].m4v","Magnificent Seven, The (2016) [PG-13].m4v","Magnificent Seven, The",2016,PG-13,700x400,1.75,720.0x360.0,815,132.83548037037036
564,//nubian/archives/movies/movies/Action & Adventure/James Bond 22 Quantum of Solace [PG-13].mp4,James Bond 22 Quantum of Solace [PG-13].mp4,James Bond 22 Quantum of Solace,,PG-13,500x200,2.5,480.0x208.0,488,105.48428055555556
565,//nubian/archives/movies/movies/Action & Adventure/James Bond 06 On Her Majesty's Secret Service [PG].mp4,James Bond 06 On Her Majesty's Secret Service [PG].mp4,James Bond 06 On Her Majesty's Secret Service,,PG,500x200,2.5,480.0x208.0,629,141.26279375000001
566,"//nubian/archives/movies/movies/Action & Adventure/King's Daughter, The (2022) [PG].m4v","King's Daughter, The (2022) [PG].m4v","King's Daughter, The",2022,PG,1900x800,2.375,1920.0x804.0,2504,98.33156629629629
567,//nubian/archives/movies/movies/Action & Adventure/Titan A.E. [PG].m4v,Titan A.E. [PG].m4v,Titan A.E.,,PG,600x400,1.5,640.0x368.0,1097,94.90703444444445
568,//nubian/archives/movies/movies/Action & Adventure/Zero Dark Thirty (2012) [R].m4v,Zero Dark Thirty (2012) [R].m4v,Zero Dark Thirty,2012,R,700x500,1.4,720.0x472.0,855,156.98947148148147
569,//nubian/archives/movies/movies/Action & Adventure/Gladiator (2000) [Edited].m4v,Gladiator (2000) [Edited].m4v,Gladiator,2000,Edited,1900x800,2.375,1920.0x816.0,5438,155.12430555555557
570,//nubian/archives/movies/movies/Action & Adventure/Mission Impossible 3 [PG-13].m4v,Mission Impossible 3 [PG-13].m4v,Mission Impossible 3,,PG-13,700x400,1.75,718.0x370.0,900,125.39902092592592
571,//nubian/archives/movies/movies/Action & Adventure/Looper (2012) [R].mp4,Looper (2012) [R].mp4,Looper,2012,R,1900x800,2.375,1920.0x816.0,1846,118.88543333333332
572,//nubian/archives/movies/movies/Action & Adventure/Innerspace (1987) [PG].m4v,Innerspace (1987) [PG].m4v,Innerspace,1987,PG,700x400,1.75,720.0x404.0,982,119.7279414814815
573,//nubian/archives/movies/movies/Action & Adventure/Battleship (2012) [PG-13].m4v,Battleship (2012) [PG-13].m4v,Battleship,2012,PG-13,700x400,1.75,720.0x356.0,971,131.37221314814815
574,"//nubian/archives/movies/movies/Action & Adventure/Mummy Returns, The (2001) [PG-13].m4v","Mummy Returns, The (2001) [PG-13].m4v","Mummy Returns, The",2001,PG-13,700x400,1.75,720.0x362.0,1330,129.63714648148147
575,//nubian/archives/movies/movies/Action & Adventure/American Sniper (2014) [R].mp4,American Sniper (2014) [R].mp4,American Sniper,2014,R,700x400,1.75,720.0x360.0,765,132.66670092592594
576,"//nubian/archives/movies/movies/Action & Adventure/Commuter, The (2018) [PG-13].m4v","Commuter, The (2018) [PG-13].m4v","Commuter, The",2018,PG-13,700x400,1.75,720.0x360.0,544,104.92996277777777
577,"//nubian/archives/movies/movies/Action & Adventure/Da Vinci Code, The (2006) [PG-13].m4v","Da Vinci Code, The (2006) [PG-13].m4v","Da Vinci Code, The",2006,PG-13,1900x800,2.375,1920.0x804.0,4756,148.76528296296294
578,//nubian/archives/movies/movies/Action & Adventure/James Bond 16 License to Kill [PG-13].mp4,James Bond 16 License to Kill [PG-13].mp4,James Bond 16 License to Kill,,PG-13,500x200,2.5,480.0x208.0,584,132.98140138888888
579,//nubian/archives/movies/movies/Action & Adventure/Fight Club (1999) [R].m4v,Fight Club (1999) [R].m4v,Fight Club,1999,R,1900x800,2.375,1920.0x800.0,4774,139.13969481481482
580,//nubian/archives/movies/movies/Action & Adventure/Spider-Man - Into the Spiderverse [PG].m4v,Spider-Man - Into the Spiderverse [PG].m4v,Spider-Man - Into the Spiderverse,,PG,1900x800,2.375,1920.0x804.0,5824,143.5221216666667
581,//nubian/archives/movies/movies/Action & Adventure/48 Hours (1982) [R].m4v,48 Hours (1982) [R].m4v,48 Hours,1982,R,700x400,1.75,718.0x350.0,654,96.58426537037036
582,//nubian/archives/movies/movies/Comedy/10 Things I Hate About You (1999) [PG-13].m4v,10 Things I Hate About You (1999) [PG-13].m4v,10 Things I Hate About You,1999,PG-13,1900x1000,1.9,1920.0x1040.0,6081,97.60653648148148
583,//nubian/archives/movies/movies/Comedy/13 Going on 30 (2004) [PG-13].m4v,13 Going on 30 (2004) [PG-13].m4v,13 Going on 30,2004,PG-13,500x300,1.6666666666666667,480.0x272.0,650,96.8475837037037
584,//nubian/archives/movies/movies/Comedy/17 Again (2009) [PG-13].m4v,17 Again (2009) [PG-13].m4v,17 Again,2009,PG-13,1900x800,2.375,1920.0x800.0,3540,101.92473925925925
585,//nubian/archives/movies/movies/Comedy/27 Dresses (2008) [PG-13].mp4,27 Dresses (2008) [PG-13].mp4,27 Dresses,2008,PG-13,700x400,1.75,720.0x354.0,617,106.02480777777778
586,"//nubian/archives/movies/movies/Comedy/40-year-old Virgin, The (2005) [CF].m4v","40-year-old Virgin, The (2005) [CF].m4v","40-year-old Virgin, The",2005,CF,700x500,1.4,720.0x460.0,607,72.14429444444445
587,//nubian/archives/movies/movies/Comedy/6 Days 7 Nights (1998) [PG-13].m4v,6 Days 7 Nights (1998) [PG-13].m4v,6 Days 7 Nights,1998,PG-13,700x300,2.3333333333333335,718.0x276.0,1086,101.94962685185186
588,//nubian/archives/movies/movies/Comedy/Accepted (2006) [PG-13].m4v,Accepted (2006) [PG-13].m4v,Accepted,2006,PG-13,600x300,2.0,640.0x272.0,847,93.09522444444444
589,//nubian/archives/movies/movies/Comedy/Ace Ventura- Pet Detective (1994) [PG-13].mp4,Ace Ventura- Pet Detective (1994) [PG-13].mp4,Ace Ventura- Pet Detective,1994,PG-13,600x500,1.2,640.0x480.0,1007,87.10034666666667
590,//nubian/archives/movies/movies/Comedy/Ace Ventura- When Nature Calls (1995) [PG-13].mp4,Ace Ventura- When Nature Calls (1995) [PG-13].mp4,Ace Ventura- When Nature Calls,1995,PG-13,600x400,1.5,640.0x368.0,1179,94.07954111111111
591,//nubian/archives/movies/movies/Comedy/Addams Family Values (1993) [PG-13].m4v,Addams Family Values (1993) [PG-13].m4v,Addams Family Values,1993,PG-13,700x500,1.4,720.0x468.0,740,94.17491388888888
592,"//nubian/archives/movies/movies/Comedy/Addams Family, The (1991) [PG-13].m4v","Addams Family, The (1991) [PG-13].m4v","Addams Family, The",1991,PG-13,700x500,1.4,714.0x458.0,744,99.60853648148148
593,//nubian/archives/movies/movies/Comedy/Admission (2016) [PG-13].m4v,Admission (2016) [PG-13].m4v,Admission,2016,PG-13,700x400,1.75,720.0x356.0,401,107.12841018518519
594,//nubian/archives/movies/movies/Comedy/Adventures in Babysitting (1987) [PG-13].m4v,Adventures in Babysitting (1987) [PG-13].m4v,Adventures in Babysitting,1987,PG-13,700x400,1.75,712.0x352.0,611,102.33161814814815
595,//nubian/archives/movies/movies/Comedy/Airplane (1980) [PG].m4v,Airplane (1980) [PG].m4v,Airplane,1980,PG,700x500,1.4,716.0x480.0,550,87.72976999999999
596,//nubian/archives/movies/movies/Comedy/All About Steve (2009) [PG-13].m4v,All About Steve (2009) [PG-13].m4v,All About Steve,2009,PG-13,700x500,1.4,718.0x472.0,1215,98.86946444444445
597,//nubian/archives/movies/movies/Comedy/Almost An Angel (1990) [PG].m4v,Almost An Angel (1990) [PG].m4v,Almost An Angel,1990,PG,500x500,1.0,480.0x480.0,1083,94.96851370370372
598,//nubian/archives/movies/movies/Comedy/Amelie (2001) [CF].m4v,Amelie (2001) [CF].m4v,Amelie,2001,CF,700x300,2.3333333333333335,704.0x274.0,1152,117.88165277777779
599,//nubian/archives/movies/movies/Comedy/Analyze This (1999) [CF].m4v,Analyze This (1999) [CF].m4v,Analyze This,1999,CF,700x500,1.4,710.0x480.0,697,90.73119611111112
600,//nubian/archives/movies/movies/Comedy/Anchorman - The Legend of Ron Burgendy (2004) [PG-13].m4v,Anchorman - The Legend of Ron Burgendy (2004) [PG-13].m4v,Anchorman - The Legend of Ron Burgendy,2004,PG-13,600x400,1.5,640.0x352.0,1159,97.33612777777778
601,//nubian/archives/movies/movies/Comedy/And Now A Word From Our Sponsor (2013) [PG].m4v,And Now A Word From Our Sponsor (2013) [PG].m4v,And Now A Word From Our Sponsor,2013,PG,700x400,1.75,720.0x364.0,746,86.56773092592593
602,//nubian/archives/movies/movies/Comedy/Annie (1982) [PG].mp4,Annie (1982) [PG].mp4,Annie,1982,PG,700x500,1.4,706.0x480.0,1178,127.39032055555556
603,//nubian/archives/movies/movies/Comedy/Annie Hall (1977) [PG].mp4,Annie Hall (1977) [PG].mp4,Annie Hall,1977,PG,700x400,1.75,720.0x388.0,1160,93.10801500000001
604,//nubian/archives/movies/movies/Comedy/Another Stakeout (1993) [PG-13].m4v,Another Stakeout (1993) [PG-13].m4v,Another Stakeout,1993,PG-13,500x200,2.5,480.0x208.0,471,108.27109965277778
605,//nubian/archives/movies/movies/Comedy/Asteroid City (2023) [PG-13].m4v,Asteroid City (2023) [PG-13].m4v,Asteroid City,2023,PG-13,1900x800,2.375,1920.0x804.0,3853,104.99099685185185
606,//nubian/archives/movies/movies/Comedy/Austin Powers in Goldmember (2002) [PG-13].mp4,Austin Powers in Goldmember (2002) [PG-13].mp4,Austin Powers in Goldmember,2002,PG-13,500x300,1.6666666666666667,512.0x288.0,1090,94.38429
607,//nubian/archives/movies/movies/Comedy/Austin Powers- International Man of Mystery (1997) [PG-13].mp4,Austin Powers- International Man of Mystery (1997) [PG-13].mp4,Austin Powers- International Man of Mystery,1997,PG-13,500x400,1.25,512.0x384.0,1033,89.53222055555555
608,//nubian/archives/movies/movies/Comedy/Austin Powers- The Spy Who Shagged Me (1999) [PG-13].mp4,Austin Powers- The Spy Who Shagged Me (1999) [PG-13].mp4,Austin Powers- The Spy Who Shagged Me,1999,PG-13,500x300,1.6666666666666667,512.0x288.0,1095,95.12669833333332
609,//nubian/archives/movies/movies/Comedy/Baby Boom (1987) [PG].m4v,Baby Boom (1987) [PG].m4v,Baby Boom,1987,PG,600x300,2.0,608.0x336.0,731,110.37971370370369
610,//nubian/archives/movies/movies/Comedy/Baby Mama (2008) [CF].m4v,Baby Mama (2008) [CF].m4v,Baby Mama,2008,CF,700x500,1.4,720.0x460.0,553,93.42555444444444
611,"//nubian/archives/movies/movies/Comedy/Bachelor, The (1999) [PG-13] .m4v","Bachelor, The (1999) [PG-13] .m4v","Bachelor, The",1999,PG-13,700x500,1.4,718.0x472.0,751,102.23671777777777
612,//nubian/archives/movies/movies/Comedy/Barb And Star Go To Vista Del Mar (2021) [PG-13].m4v,Barb And Star Go To Vista Del Mar (2021) [PG-13].m4v,Barb And Star Go To Vista Del Mar,2021,PG-13,1900x800,2.375,1920.0x804.0,3360,106.99091148148149
613,//nubian/archives/movies/movies/Comedy/Barbie (2023) [PG-13].m4v,Barbie (2023) [PG-13].m4v,Barbie,2023,PG-13,1900x1000,1.9,1920.0x960.0,3484,114.06394962962963
614,//nubian/archives/movies/movies/Comedy/Be Cool (2005) [R].m4v,Be Cool (2005) [R].m4v,Be Cool,2005,R,700x400,1.75,720.0x354.0,1170,119.67471148148148
615,//nubian/archives/movies/movies/Comedy/Because I Said So (2007) [PG-13].m4v,Because I Said So (2007) [PG-13].m4v,Because I Said So,2007,PG-13,700x500,1.4,720.0x480.0,718,101.38711925925925
616,//nubian/archives/movies/movies/Comedy/Beetlejuice (1988) [PG].m4v,Beetlejuice (1988) [PG].m4v,Beetlejuice,1988,PG,1900x1100,1.7272727272727273,1918.0x1080.0,3811,92.10590240740741
617,//nubian/archives/movies/movies/Comedy/Being John Malkovich (1999) [R].m4v,Being John Malkovich (1999) [R].m4v,Being John Malkovich,1999,R,700x500,1.4,720.0x464.0,1106,112.42616296296296
618,//nubian/archives/movies/movies/Comedy/Best In Show (2000) [PG-13].m4v,Best In Show (2000) [PG-13].m4v,Best In Show,2000,PG-13,1900x1000,1.9,1920.0x1040.0,6134,90.19079481481481
619,"//nubian/archives/movies/movies/Comedy/Best Two Years, The (2004) [PG].m4v","Best Two Years, The (2004) [PG].m4v","Best Two Years, The",2004,PG,700x300,2.3333333333333335,718.0x348.0,1075,109.91981000000001
620,//nubian/archives/movies/movies/Comedy/Better Off Dead (1985) [PG].mp4,Better Off Dead (1985) [PG].mp4,Better Off Dead,1985,PG,700x500,1.4,720.0x480.0,1505,96.90506388888889
621,//nubian/archives/movies/movies/Comedy/Beverly Hills Ninja (1997) [PG-13].m4v,Beverly Hills Ninja (1997) [PG-13].m4v,Beverly Hills Ninja,1997,PG-13,700x500,1.4,710.0x470.0,991,88.62214685185184
622,//nubian/archives/movies/movies/Comedy/Big (1988) [PG].mp4,Big (1988) [PG].mp4,Big,1988,PG,600x500,1.2,640.0x480.0,1149,104.15822083333333
623,"//nubian/archives/movies/movies/Comedy/Big Lebowsky, The (1998) [CF].m4v","Big Lebowsky, The (1998) [CF].m4v","Big Lebowsky, The",1998,CF,700x500,1.4,718.0x480.0,677,87.892805
624,//nubian/archives/movies/movies/Comedy/Bill And Ted Face The Music (2020) [PG-13].m4v,Bill And Ted Face The Music (2020) [PG-13].m4v,Bill And Ted Face The Music,2020,PG-13,700x400,1.75,720.0x362.0,482,91.94296185185185
625,//nubian/archives/movies/movies/Comedy/Bill And Ted's Bogus Journey (1991) [PG].m4v,Bill And Ted's Bogus Journey (1991) [PG].m4v,Bill And Ted's Bogus Journey,1991,PG,700x500,1.4,718.0x462.0,665,93.56853222222223
