,Path,File_Name,Title,Year,Rating,Resolution,Aspect_Ratio,Detailed_Aspect_Ratio,File Size,Run_Time(Minutes)
29,//nubian/archives/movies/movies/Action & Adventure/A Good Day To Die Hard (2013) [R].m4v,A Good Day To Die Hard (2013) [R].m4v,A Good Day To Die Hard,2013,R,700x500,1.4,720.0x468.0,1004,97.65088629629629
30,//nubian/archives/movies/movies/Action & Adventure/Air Force One (1997) [Edited].m4v,Air Force One (1997) [Edited].m4v,Air Force One,1997,Edited,1900x800,2.375,1920.0x800.0,3125,124.39930555555556
31,//nubian/archives/movies/movies/Action & Adventure/Green Lantern (2011) [PG-13].m4v,Green Lantern (2011) [PG-13].m4v,Green Lantern,2011,PG-13,1900x800,2.375,1920.0x800.0,3184,123.65756148148148
32,"//nubian/archives/movies/movies/Action & Adventure/Great Wall, The [PG-13].mp4","Great Wall, The [PG-13].mp4","Great Wall, The",,PG-13,700x400,1.75,720.0x364.0,718,103.05517444444445
33,//nubian/archives/movies/movies/Action & Adventure/Pirates Of The Carribean - The Curse of the Black Pearl (2003) [PG-13].m4v,Pirates Of The Carribean - The Curse of the Black Pearl (2003) [PG-13].m4v,Pirates Of The Carribean - The Curse of the Black Pearl,2003,PG-13,700x400,1.75,716.0x360.0,1504,143.1913812962963
34,//nubian/archives/movies/movies/Action & Adventure/Blackhawk Down (2001) [CF].m4v,Blackhawk Down (2001) [CF].m4v,Blackhawk Down,2001,CF,700x400,1.75,708.0x360.0,1229,138.57121055555555
35,"//nubian/archives/movies/movies/Action & Adventure/Thin Red Line, The (1998) [R].m4v","Thin Red Line, The (1998) [R].m4v","Thin Red Line, The",1998,R,1900x800,2.375,1920.0x818.0,6870,170.7845024074074
36,//nubian/archives/movies/movies/Action & Adventure/Dick Tracy (1990) [PG].m4v,Dick Tracy (1990) [PG].m4v,Dick Tracy,1990,PG,700x500,1.4,716.0x460.0,973,105.09177703703703
37,//nubian/archives/movies/movies/Action & Adventure/Hellboy 2 The Golden Army [PG-13].m4v,Hellboy 2 The Golden Army [PG-13].m4v,Hellboy 2 The Golden Army,,PG-13,600x400,1.5,640.0x352.0,1424,119.68831840277777
38,//nubian/archives/movies/movies/Action & Adventure/Jumanji (1995) [PG].m4v,Jumanji (1995) [PG].m4v,Jumanji,1995,PG,700x500,1.4,720.0x464.0,1164,104.10399962962963
39,//nubian/archives/movies/movies/Action & Adventure/Training Day [CF].m4v,Training Day [CF].m4v,Training Day,,CF,700x400,1.75,710.0x370.0,635,102.91948333333333
40,//nubian/archives/movies/movies/Action & Adventure/Rambo 3 (1988) [Edited].m4v,Rambo 3 (1988) [Edited].m4v,Rambo 3,1988,Edited,1900x800,2.375,1920.0x816.0,3055,101.52569444444445
41,//nubian/archives/movies/movies/Action & Adventure/Starship Troopers (1997) [Edited].m4v,Starship Troopers (1997) [Edited].m4v,Starship Troopers,1997,Edited,1900x1000,1.9,1920.0x1040.0,5087,127.86388888888888
42,"//nubian/archives/movies/movies/Action & Adventure/Accountant, The (2016) [R].m4v","Accountant, The (2016) [R].m4v","Accountant, The",2016,R,700x400,1.75,720.0x360.0,869,127.90416462962962
43,//nubian/archives/movies/movies/Action & Adventure/X-Men 2 [PG-13].mp4,X-Men 2 [PG-13].mp4,X-Men 2,,PG-13,500x200,2.5,480.0x208.0,549,132.99495814814816
44,"//nubian/archives/movies/movies/Action & Adventure/Longest Day, The [PG].m4v","Longest Day, The [PG].m4v","Longest Day, The",,PG,600x300,2.0,640.0x272.0,2108,177.07342395833334
45,//nubian/archives/movies/movies/Action & Adventure/Jungle Cruise (2021) [PG-13].m4v,Jungle Cruise (2021) [PG-13].m4v,Jungle Cruise,2021,PG-13,700x400,1.75,720.0x356.0,1211,127.32233370370369
46,//nubian/archives/movies/movies/Action & Adventure/Predators (2010) [R].m4v,Predators (2010) [R].m4v,Predators,2010,R,700x400,1.75,720.0x368.0,840,106.88467537037036
47,//nubian/archives/movies/movies/Action & Adventure/Kingdom of Heaven [CF].m4v,Kingdom of Heaven [CF].m4v,Kingdom of Heaven,,CF,700x400,1.75,718.0x368.0,948,142.86383222222224
48,//nubian/archives/movies/movies/Action & Adventure/Thor (2011) [PG-13].m4v,Thor (2011) [PG-13].m4v,Thor,2011,PG-13,1900x800,2.375,1920.0x816.0,3637,114.84459074074074
49,//nubian/archives/movies/movies/Action & Adventure/Faceoff [CF].m4v,Faceoff [CF].m4v,Faceoff,,CF,700x400,1.75,706.0x366.0,1044,133.41049944444444
50,//nubian/archives/movies/movies/Action & Adventure/Jurassic World Fallen Kingdom [PG-13].m4v,Jurassic World Fallen Kingdom [PG-13].m4v,Jurassic World Fallen Kingdom,,PG-13,700x400,1.75,720.0x356.0,687,128.2981698148148
51,//nubian/archives/movies/movies/Action & Adventure/Percy Jackson Lightening Thief [PG].m4v,Percy Jackson Lightening Thief [PG].m4v,Percy Jackson Lightening Thief,,PG,700x400,1.75,720.0x368.0,784,118.61710944444444
52,//nubian/archives/movies/movies/Action & Adventure/Meg 2 - The Trench (2023) [PG-13].m4v,Meg 2 - The Trench (2023) [PG-13].m4v,Meg 2 - The Trench,2023,PG-13,1900x800,2.375,1920.0x804.0,3508,115.69126981481482
53,//nubian/archives/movies/movies/Action & Adventure/Jonah Hex [PG-13].m4v,Jonah Hex [PG-13].m4v,Jonah Hex,,PG-13,600x300,2.0,640.0x272.0,424,81.47304944444446
54,//nubian/archives/movies/movies/Action & Adventure/Gods And Generals (2003) [PG-13].m4v,Gods And Generals (2003) [PG-13].m4v,Gods And Generals,2003,PG-13,700x400,1.75,720.0x360.0,1106,112.65559833333333
55,"//nubian/archives/movies/movies/Action & Adventure/Legend of Tarzan, The [PG-13].m4v","Legend of Tarzan, The [PG-13].m4v","Legend of Tarzan, The",,PG-13,700x400,1.75,720.0x360.0,966,109.97318851851851
56,//nubian/archives/movies/movies/Action & Adventure/Blue Beetle (2023) [PG-13].m4v,Blue Beetle (2023) [PG-13].m4v,Blue Beetle,2023,PG-13,1900x800,2.375,1920.0x804.0,3583,127.45301981481481
57,//nubian/archives/movies/movies/Action & Adventure/Super Mario Brothers (1993) [PG].m4v,Super Mario Brothers (1993) [PG].m4v,Super Mario Brothers,1993,PG,700x400,1.75,708.0x350.0,1198,104.61870111111111
58,//nubian/archives/movies/movies/Action & Adventure/Robocop [CF].m4v,Robocop [CF].m4v,Robocop,,CF,700x500,1.4,718.0x466.0,931,92.23380833333334
59,//nubian/archives/movies/movies/Action & Adventure/Jack Reacher Never Go Back (2016) [PG-13].m4v,Jack Reacher Never Go Back (2016) [PG-13].m4v,Jack Reacher Never Go Back,2016,PG-13,700x400,1.75,720.0x360.0,626,118.15275666666668
60,//nubian/archives/movies/movies/Action & Adventure/Beverly Hills Cop 2 (1987) [R].m4v,Beverly Hills Cop 2 (1987) [R].m4v,Beverly Hills Cop 2,1987,R,700x300,2.3333333333333335,656.0x272.0,630,98.73788944444443
61,//nubian/archives/movies/movies/Action & Adventure/Superman 5 Superman Returns [PG-13].m4v,Superman 5 Superman Returns [PG-13].m4v,Superman 5 Superman Returns,,PG-13,700x400,1.75,720.0x360.0,760,154.28817907407407
62,//nubian/archives/movies/movies/Action & Adventure/Inferno (2016) [PG-13].m4v,Inferno (2016) [PG-13].m4v,Inferno,2016,PG-13,1900x1000,1.9,1920.0x1036.0,4829,121.58813296296297
63,//nubian/archives/movies/movies/Action & Adventure/Max Payne [NR].m4v,Max Payne [NR].m4v,Max Payne,,NR,700x400,1.75,718.0x360.0,594,102.98512185185186
64,//nubian/archives/movies/movies/Action & Adventure/Desparado (1995) [CF].m4v,Desparado (1995) [CF].m4v,Desparado,1995,CF,700x500,1.4,710.0x472.0,740,97.41453944444444
65,//nubian/archives/movies/movies/Action & Adventure/Shipwrecked [PG].m4v,Shipwrecked [PG].m4v,Shipwrecked,,PG,700x500,1.4,718.0x478.0,833,93.14888925925925
66,//nubian/archives/movies/movies/Action & Adventure/Gettysburg (1993) [PG] - Part 1.m4v,Gettysburg (1993) [PG] - Part 1.m4v,Gettysburg   - Part 1,1993,PG,700x500,1.4,720.0x480.0,1773,141.9416611111111
67,"//nubian/archives/movies/movies/Action & Adventure/Edge Of Tomorrow, The (2014) [PG-13].m4v","Edge Of Tomorrow, The (2014) [PG-13].m4v","Edge Of Tomorrow, The",2014,PG-13,700x400,1.75,720.0x360.0,736,113.49435407407408
68,"//nubian/archives/movies/movies/Action & Adventure/River Wild, The [PG-13].m4v","River Wild, The [PG-13].m4v","River Wild, The",,PG-13,700x400,1.75,710.0x362.0,1119,111.36236203703703
